"","INSPECTION_YEAR","ORIGIN","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"53",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"54",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Brassica sp.  - Brassica","Brassica sp. ",1
"55",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",2
"56",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",2
"57",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Gerbera sp.  - Gerbera","Gerbera sp. ",2
"58",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Gomphrena sp. - Gomphrena","Gomphrena sp.",1
"59",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",9
"60",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Helichrysum sp.  - Helichrysum","Helichrysum sp. ",3
"61",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Hydrangea sp. - Hydrangea","Hydrangea sp.",1
"62",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Hypericum sp. - Hypericum","Hypericum sp.",5
"63",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Lilium sp. - Lilium","Lilium sp.",1
"64",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Limonium sp. - Limonium","Limonium sp.",2
"65",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Matthiola sp. - Matthiola","Matthiola sp.",18
"66",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Moluccella sp. - Moluccella","Moluccella sp.",8
"67",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Protea sp. - Protea","Protea sp.",1
"68",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Ranunculus sp. - Ranunculus","Ranunculus sp.",4
"69",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Ruscus sp. - Ruscus","Ruscus sp.",1
"70",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Scabiosa sp. - Scabiosa","Scabiosa sp.",1
"71",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Trachelium sp. - Trachelium","Trachelium sp.",3
"72",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Musa sp. - Plantain","Musa sp.",1
"73",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"74",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"75",2020,"Mexico","Copitarsia","decolora","decolora","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",1
"76",2020,"Mexico","Copitarsia","decolora","decolora","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",2
"77",2020,"Mexico","Copitarsia","decolora","decolora","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",2
"78",2020,"Mexico","Copitarsia","decolora","decolora","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",1
"79",2020,"Mexico","Copitarsia","decolora","decolora","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",1
"80",2020,"Mexico","Copitarsia","decolora","decolora","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",2
"81",2020,"Mexico","Copitarsia","decolora","decolora","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"82",2020,"Mexico","Copitarsia","decolora","decolora",NA,NA,1
"83",2020,"Mexico","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",5
"84",2020,"Mexico","Copitarsia",NA,"Copitarsia","Anthurium sp. - Anthurium","Anthurium sp.",1
"85",2020,"Mexico","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",4
"86",2020,"Mexico","Copitarsia",NA,"Copitarsia","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",18
"87",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. capitata  - CABBAGE","Brassica oleracea var. capitata ",5
"88",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",98
"89",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",2
"90",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",4
"91",2020,"Mexico","Copitarsia",NA,"Copitarsia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",5
"92",2020,"Mexico","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",1
"93",2020,"Mexico","Copitarsia",NA,"Copitarsia","Lilium sp. - Lilium","Lilium sp.",2
"94",2020,"Mexico","Copitarsia",NA,"Copitarsia","Mentha sp. - MINT","Mentha sp.",1
"95",2020,"Mexico","Copitarsia",NA,"Copitarsia","Opuntia sp. - PRICKLY PEAR PAD","Opuntia sp.",1
"96",2020,"Mexico","Copitarsia",NA,"Copitarsia","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"97",2020,"Mexico","Copitarsia",NA,"Copitarsia","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",3
"98",2020,"Mexico","Copitarsia",NA,"Copitarsia","Polianthes sp. - Polianthes","Polianthes sp.",1
"99",2020,"Mexico","Copitarsia",NA,"Copitarsia","Spinacia oleracea - SPINACH","Spinacia oleracea",2
"100",2020,"Mexico","Copitarsia",NA,"Copitarsia",NA,NA,8
"101",2020,"Nicaragua","Copitarsia",NA,"Copitarsia","Abelmoschus esculentus - OKRA","Abelmoschus esculentus",1
"102",2020,"Not Specified","Copitarsia","decolora","decolora",NA,NA,1
"103",2020,"Not Specified","Copitarsia",NA,"Copitarsia",NA,NA,1
"104",2020,"United States of America","Copitarsia",NA,"Copitarsia","Origanum majorana - MARJORAM","Origanum majorana",1
"105",2021,"Brazil","Copitarsia",NA,"Copitarsia","Zingiber officinale - GINGER ROOT","Zingiber officinale",1
"106",2021,"Colombia","Copitarsia","decolora","decolora","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",2
"107",2021,"Colombia","Copitarsia","decolora","decolora","Dianthus sp. - Dianthus","Dianthus sp.",1
"108",2021,"Colombia","Copitarsia","decolora","decolora","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",1
"109",2021,"Colombia","Copitarsia",NA,"Copitarsia","Allium schoenoprasum - CHIVE","Allium schoenoprasum",27
"110",2021,"Colombia","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",165
"111",2021,"Colombia","Copitarsia",NA,"Copitarsia","Anethum graveolens - DILL","Anethum graveolens",24
"112",2021,"Colombia","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"113",2021,"Colombia","Copitarsia",NA,"Copitarsia","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",6
"114",2021,"Colombia","Copitarsia",NA,"Copitarsia","Aster sp.  - Aster","Aster sp. ",7
"115",2021,"Colombia","Copitarsia",NA,"Copitarsia","Astilbe sp. - Astilbe","Astilbe sp.",1
"116",2021,"Colombia","Copitarsia",NA,"Copitarsia","Brassica sp.  - Brassica","Brassica sp. ",3
"117",2021,"Colombia","Copitarsia",NA,"Copitarsia","Calendula sp.  - Calendula","Calendula sp. ",1
"118",2021,"Colombia","Copitarsia",NA,"Copitarsia","Callistephus sp.  - Callistephus","Callistephus sp. ",6
"119",2021,"Colombia","Copitarsia",NA,"Copitarsia","Campanula sp. - Campanula","Campanula sp.",1
"120",2021,"Colombia","Copitarsia",NA,"Copitarsia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",73
"121",2021,"Colombia","Copitarsia",NA,"Copitarsia","Cichorium sp.  - Cichorium","Cichorium sp. ",1
"122",2021,"Colombia","Copitarsia",NA,"Copitarsia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",2
"123",2021,"Colombia","Copitarsia",NA,"Copitarsia","Cymbidium sp. - Cymbidium","Cymbidium sp.",1
"124",2021,"Colombia","Copitarsia",NA,"Copitarsia","Dahlia sp. - Dahlia","Dahlia sp.",1
"125",2021,"Colombia","Copitarsia",NA,"Copitarsia","Delphinium sp. - Delphinium","Delphinium sp.",1
"126",2021,"Colombia","Copitarsia",NA,"Copitarsia","Dianthus caryophyllus - Dianthus caryophyllus","Dianthus caryophyllus",1
"127",2021,"Colombia","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",44
"128",2021,"Colombia","Copitarsia",NA,"Copitarsia","Eryngium sp. - Eryngium","Eryngium sp.",7
"129",2021,"Colombia","Copitarsia",NA,"Copitarsia","Eucalyptus sp. - Eucalyptus","Eucalyptus sp.",1
"130",2021,"Colombia","Copitarsia",NA,"Copitarsia","Gerbera sp.  - Gerbera","Gerbera sp. ",2
"131",2021,"Colombia","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",22
"132",2021,"Colombia","Copitarsia",NA,"Copitarsia","Hydrangea sp. - Hydrangea","Hydrangea sp.",7
"133",2021,"Colombia","Copitarsia",NA,"Copitarsia","Hypericum sp. - Hypericum","Hypericum sp.",3
"134",2021,"Colombia","Copitarsia",NA,"Copitarsia","Lactuca sativa - LETTUCE","Lactuca sativa",4
"135",2021,"Colombia","Copitarsia",NA,"Copitarsia","Lactuca sativa var. longifolia - Romaine Lettuce","Lactuca sativa var. longifolia",1
"136",2021,"Colombia","Copitarsia",NA,"Copitarsia","Leucospermum sp. - Leucospermum","Leucospermum sp.",1
"137",2021,"Colombia","Copitarsia",NA,"Copitarsia","Lilium sp. - Lilium","Lilium sp.",2
"138",2021,"Colombia","Copitarsia",NA,"Copitarsia","Limonium sp. - Limonium","Limonium sp.",9
"139",2021,"Colombia","Copitarsia",NA,"Copitarsia","Matthiola sp. - Matthiola","Matthiola sp.",1
"140",2021,"Colombia","Copitarsia",NA,"Copitarsia","Mentha sp. - MINT","Mentha sp.",119
"141",2021,"Colombia","Copitarsia",NA,"Copitarsia","Moluccella sp. - Moluccella","Moluccella sp.",7
"142",2021,"Colombia","Copitarsia",NA,"Copitarsia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",8
"143",2021,"Colombia","Copitarsia",NA,"Copitarsia","Origanum majorana - MARJORAM","Origanum majorana",11
"144",2021,"Colombia","Copitarsia",NA,"Copitarsia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",40
