"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Hoya obscura  (Apocynaceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Hoya pachyclada","Airport - Aircraft - Cargo - PIS",1
"Other","Hoya rotundifolia  (Apocynaceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Hoya sp.","Airport - Aircraft - Mail - PIS Mail",1
"Other","Impatiens hawkeri","Airport - Aircraft - Cargo - PIS",1
"Other","Iris sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Iris sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Kalanchoe sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Laurus nobilis","Land Border - Truck - Cargo - CBP",1
"Other","Lepidium sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Leptotes sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Leucospermum sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Liatris sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Ludwigia palustris","Airport - Aircraft - Cargo - PIS",1
"Other","Lysimachia sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Mammillaria compressa","Airport - Aircraft - Cargo - PIS",1
"Other","Manihot esculenta","Maritime Port - Vessel - Cargo - CBP",1
"Other","Maranta leuconeura","Airport - Aircraft - Cargo - PIS",1
"Other","Moluccella sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Moringa oleifera","Airport - Aircraft - Cargo - Predeparture",1
"Other","Musa sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Myosotis sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Myriophyllum sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Myrtus sp.","Land Border - Truck - Cargo - CBP",1
"Other","Nepenthes ampullaria (Nepenthaceae)","Airport - Aircraft - Mail - PIS Mail",1
"Other","Nepenthes hybrid","Airport - Aircraft - Mail - PIS Mail",1
"Other","Nephrolepis sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Nephrolepis sp.","Land Border - Truck - Cargo - CBP",1
"Other","Opuntia sp.","Land Border - Truck - Cargo - CBP",1
"Other","Opuntia sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Origanum majorana","Land Border - Truck - Cargo - CBP",1
"Other","Origanum majoricum","Airport - Aircraft - Cargo - CBP",1
"Other","Origanum sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Origanum vulgare subsp. hirtum","Airport - Aircraft - Cargo - CBP",1
"Other","Ornithogalum sp.","Land Border - Truck - Cargo - CBP",1
"Other","Oxypetalum sp.","Land Border - Truck - Cargo - CBP",1
"Other","Pachyrhizus tuberosus","Land Border - Truck - Cargo - CBP",1
"Other","Pachyrhizus tuberosus","Maritime Port - Vessel - Cargo - CBP",1
"Other","Pectis sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Peperomia obtusifolia","Airport - Aircraft - Cargo - PIS",1
"Other","Phaseolus sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Phaseolus sp. ","Maritime Port - Vessel - Cargo - CBP",1
"Other","Phaseolus vulgaris (Fabaceae)","Maritime Port - Vessel - Cargo - CBP",1
"Other","Philodendron hybrid","Airport - Aircraft - Cargo - PIS",1
"Other","Philodendron sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Pistia sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Pistia stratiotes","Airport - Aircraft - Cargo - PIS",1
"Other","Pisum sativum (Fabaceae)","Airport - Aircraft - Cargo - CBP",1
"Other","Pittosporum sp.","Land Border - Truck - Cargo - CBP",1
"Other","Pittosporum sp.","Maritime Port - Vessel - Cargo - CBP",1
"Other","Platycerium hybrid","Airport - Aircraft - Cargo - PIS",1
"Other","Polemonium sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Polypodium sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Polyscias sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Psidium guajava","Land Border - Truck - Cargo - CBP",1
"Other","Quercus sp.","Land Border - Truck - Cargo - CBP",1
"Other","Rosa sp.","Maritime Port - Vessel - Cargo - CBP",1
"Other","Rumohra sp.","Land Border - Truck - Cargo - CBP",1
"Other","Scabiosa sp.","Land Border - Truck - Cargo - CBP",1
"Other","Schefflera sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Senecio sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Silene sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Solanum lycopersicum var. cerasiforme","Maritime Port - Vessel - Cargo - CBP",1
"Other","Solanum melongena","Airport - Aircraft - Conveyance - CBP",1
"Other","Solanum melongena","Maritime Port - Vessel - Conveyance - CBP",1
"Other","Stevia rebaudiana (Asteraceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Stromanthe sanguinea  (Marantaceae)","Airport - Aircraft - Cargo - PIS",1
"Other","Syringa sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Tecoma sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Tillandsia harrisii","Airport - Aircraft - Cargo - PIS",1
"Other","Tillandsia ionantha","Airport - Aircraft - Cargo - PIS",1
"Other","Tradescantia sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Trichosanthes cucumerina var. anguina","Airport - Aircraft - Cargo - CBP",1
"Other","Trichosanthes dioica","Airport - Aircraft - Cargo - CBP",1
"Other","Trichosanthes dioica","Maritime Port - Vessel - Cargo - CBP",1
"Other","Vaccinium angustifolium","Maritime Port - Vessel - Cargo - CBP",1
"Other","Vanda hybrid","Airport - Aircraft - Cargo - PIS",1
"Other","Victoria sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Xanthosoma sp.","Land Border - Truck - Cargo - CBP",1
"Other","Xerochrysum sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Zamioculcas zamiifolia","Airport - Aircraft - Cargo - PIS",1
"Other","Zingiber officinale","Airport - Aircraft - Cargo - CBP",1
"Other","Zingiber sp.","Land Border - Truck - Conveyance - CBP",1
"Other",NA,"Land Border - Rail - Cargo - CBP",1
"Zea mays - CORN","Zea mays","Maritime Port - Vessel - Cargo - CBP",1
NA,NA,"Airport - Aircraft - Express Carrier - CBP",1
NA,NA,"Land Border - Rail - Cargo - CBP",1
NA,NA,"Land Border - Truck - Conveyance - CBP",1
