"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Capsicum sp.","Airport - Aircraft - Cargo - CBP",18
"Other","Portulaca oleracea","Land Border - Truck - Cargo - CBP",18
"Other","Amaranthus sp. ","Land Border - Truck - Cargo - CBP",17
"Other","Antirrhinum sp.","Land Border - Truck - Conveyance - CBP",17
"Other","Brassica oleracea var. gemmifera ","Land Border - Truck - Cargo - CBP",17
"Dianthus sp. - Dianthus","Dianthus sp.","Land Border - Truck - Conveyance - CBP",16
"Other","Asparagus officinalis","Land Border - Truck - Cargo - CBP",16
"Other","Capsicum chinense","Airport - Aircraft - Cargo - CBP",16
"Other","Capsicum sp.","Land Border - Truck - Cargo - CBP",16
"Other","Lagenaria siceraria (Cucurbitaceae)","Maritime Port - Vessel - Cargo - CBP",16
"Other","Petroselinum crispum (Apiaceae)","Land Border - Truck - Cargo - CBP",15
"Other","Physalis philadelphica","Land Border - Truck - Cargo - CBP",15
"Other","Zingiber officinale","Maritime Port - Vessel - Cargo - CBP",14
"Other","Celosia sp.","Land Border - Truck - Cargo - CBP",13
"Other","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)","Land Border - Truck - Cargo - CBP",13
"Other","Matthiola sp.","Land Border - Truck - Cargo - CBP",13
"Other","Musa sp.","Maritime Port - Vessel - Cargo - CBP",13
"Other","Rosmarinus officinalis","Airport - Aircraft - Cargo - CBP",13
"Other","Rumex sp.","Airport - Aircraft - Cargo - CBP",13
"Other","Artocarpus altilis","Maritime Port - Vessel - Cargo - CBP",12
"Other","Ocimum sp.","Airport - Aircraft - Cargo - CBP",12
"Other","Capsicum chinense","Maritime Port - Vessel - Cargo - CBP",11
"Other","Cocos nucifera (Arecaceae)","Maritime Port - Vessel - Cargo - CBP",11
"Other","Solanum melongena","Maritime Port - Vessel - Cargo - CBP",11
"Other","Solidago sp. ","Land Border - Truck - Conveyance - CBP",11
"Other","Alstroemeria sp.","Land Border - Truck - Cargo - CBP",10
"Other","Gladiolus sp.","Land Border - Truck - Conveyance - CBP",10
"Other","Helianthus sp. ","Airport - Aircraft - Cargo - CBP",10
"Other","Jasminum sp.","Airport - Aircraft - Cargo - CBP",10
"Other","Allium fistulosum","Land Border - Truck - Cargo - CBP",9
"Other","Antirrhinum sp.","Airport - Aircraft - Cargo - CBP",9
"Other","Gypsophila sp.","Land Border - Truck - Cargo - CBP",9
"Other","Artemisia dracunculus (Asteraceae)","Land Border - Truck - Cargo - CBP",8
